"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-249 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","58.85","0.89","","18.2","","6.07","","","6.65","2.78","0.08","","1","4.3","0.21","","","","","","","","","","","","","","","","0.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","180","18","","","14","6","","","","","","","","16.5","710","34.5","92","3","","","","","","","","","","","","","500","19.4","32.5","","27.5","6","2.1","7.5","","5.2","","2.8","","2.35","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","100549",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-150 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","60.1","0.83","","18","","5.35","","","6","2","0.06","","1.3","4.88","0.24","","","","","","","","","","","","","","","","0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","154","13","","","12","5.5","","","","","","","","22","870","20","100","2.9","","","","","","","","","","","","","640","21","37","","27.5","5.7","1.66","5.2","","3.15","","1.75","","1.42","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","100550",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-154 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","60.7","0.83","","17.8","","5.25","","","6.2","2","0.06","","1.32","4.9","0.24","","","","","","","","","","","","","","","","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","155","15","","","13","6","","","","","","","","22","885","9","104","3.3","","","","","","","","","","","","","670","16","33","","20","3.9","1.07","2.9","","1.8","","0.85","","0.72","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","100551",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-212 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","61.4","0.8","","17.65","","5.35","","","5.9","1.83","0.06","","1.22","4.65","0.22","","","","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","152","13","","","12","6","","","","","","","","22","720","10.5","100","3.1","","","","","","","","","","","","","605","14.5","29","","17","3.65","1.04","2.9","","1.85","","0.85","","0.73","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","100552",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-205 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","62","0.76","","17.75","","5.2","","","5.6","1.92","0.05","","1.16","4.6","0.19","","","","","","","","","","","","","","","","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","155","18","","","12","7","","","","","","","","23","700","8.8","98","2.7","","","","","","","","","","","","","580","13","26","","14.5","3.05","0.88","2.7","","1.65","","0.75","","0.71","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","100553",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-153 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","62.4","0.74","","17.45","","4.68","","","5.45","1.62","0.05","","1.47","4.78","0.21","","","","","","","","","","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","130","14","","","10","5","","","","","","","","25","830","7.2","110","2.8","","","","","","","","","","","","","740","17","34.5","","18.5","3.6","1.02","2.65","","1.45","","0.7","","0.56","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","","","","","","","","","","","","100554",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-246 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","62","0.76","","17.8","","5.18","","","5","1.28","0.06","","1.28","4.33","0.2","","","","","","","","","","","","","","","","1.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","148","14","","","12","6","","","","","","","","22.5","627","8.4","110","3.6","","","","","","","","","","","","","735","13.3","28.5","","15.3","3.35","0.94","2.75","","1.6","","0.7","","0.67","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","100555",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-141 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","63","0.67","","17.55","","4.33","","","5.2","1.66","0.05","","1.4","4.8","0.2","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","112","12","","","9","5","","","","","","","","28.5","685","12.2","115","3.1","","","","","","","","","","","","","725","16.5","33","","20","3.7","1.05","3.1","","1.8","","0.95","","0.77","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","100556",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-142 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","63.25","0.67","","17.7","","4.37","","","4.8","1.49","0.05","","1.38","4.55","0.19","","","","","","","","","","","","","","","","1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","","114","12","","","9","4.5","","","","","","","","28.5","630","13.6","115","3.1","","","","","","","","","","","","","740","15.8","31.5","","17","3.3","0.99","2.9","","1.65","","0.95","","0.78","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","100557",
"[4687]","CONVERGENT MARGIN","ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / QUIMSACOCHA","","-3.033","-3.034","-79.23","-79.24","SAE","","","s_QC-143 [4687]","ADAKITE [4687]","","","","","","","","","VOL","","","","","WR [4687] ","58.8","0.95","","18.35","","5.9","","","6.8","2.73","0.07","","1.06","4.62","0.23","","","","","","","","","","","","","","","","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","190","21","","","14","8","","","","","","","","14.5","785","9.1","88","3","","","","","","","","","","","","","492","17.5","26.5","","16","3.15","0.99","2.7","","1.8","","0.85","","0.74","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","100558",
